Prosecuted,Criminalized,Both criminalized and prosecuted,Neither criminalized nor prosecuted
Niue [2],Liberia [1],Angola [1],Afghanistan [1]
Syrian Arab Republic [2],Malawi [1],Burundi [2],Albania [1]
,Oman [1],Ethiopia [2],Algeria [2]
,Saudi Arabia [1],Kuwait [2],Antigua and Barbuda [1]
,Sierra Leone [1],Libya [1],Argentina [1]
,Tonga [2],Malaysia [2],Armenia [1]
,Tunisia [1],Morocco [1],Azerbaijan [1]
,Uganda [1],Pakistan [1],Bahamas [1]
,,United Arab Emirates [2],Bangladesh [1]
,,Zimbabwe [1],Barbados [1]
,,,Belarus [1]
,,,Benin [1]
,,,Bolivia (Plurinational State of) [1]
,,,Botswana [1]
,,,Brazil [1]
,,,Burkina Faso [1]
,,,Cambodia [1]
,,,Cameroon [1]
,,,Canada [1]
,,,Central African Republic [1]
,,,Chile [1]
,,,China [1]
,,,Colombia [1]
,,,Comoros [1]
,,,Congo [1]
,,,Costa Rica [1]
,,,Cuba [1]
,,,Czechia [1]
,,,Côte d'Ivoire [1]
,,,Democratic Republic of the Congo [1]
,,,Dominica [2]
,,,Dominican Republic [1]
,,,Ecuador [1]
,,,Egypt [1]
,,,El Salvador [1]
,,,Equatorial Guinea [2]
,,,Eswatini [1]
,,,Fiji [2]
,,,Gabon [1]
,,,Georgia [1]
,,,Germany [2]
,,,Ghana [1]
,,,Guatemala [1]
,,,Guinea [1]
,,,Guinea-Bissau [1]
,,,Guyana [1]
,,,Haiti [1]
,,,Honduras [1]
,,,Iceland [2]
,,,India [1]
,,,Iran (Islamic Republic of) [1]
,,,Ireland [2]
,,,Israel [1]
,,,Jamaica [1]
,,,Kazakhstan [1]
,,,Kenya [1]
,,,Kiribati [1]
,,,Kyrgyzstan [1]
,,,Lao People's Democratic Republic [2]
,,,Latvia [2]
,,,Lesotho [1]
,,,Lithuania [2]
,,,Luxembourg [2]
,,,Madagascar [1]
,,,Mali [1]
,,,Malta [2]
,,,Marshall Islands [2]
,,,Mauritania [1]
,,,Mauritius [1]
,,,Mexico [1]
,,,Micronesia (Federated States of) [2]
,,,Monaco [1]
,,,Mongolia [1]
,,,Montenegro [1]
,,,Mozambique [1]
,,,Myanmar [1]
,,,Namibia [1]
,,,Nauru [2]
,,,Nepal [1]
,,,New Zealand [1]
,,,Nicaragua [1]
,,,Niger [1]
,,,Nigeria [1]
,,,Palau [2]
,,,Panama [1]
,,,Papua New Guinea [1]
,,,Paraguay [1]
,,,Philippines [1]
,,,Republic of Korea [1]
,,,Republic of Moldova [1]
,,,Russian Federation [1]
,,,Rwanda [2]
,,,Saint Lucia [1]
,,,Samoa [2]
,,,Sao Tome and Principe [1]
,,,Senegal [1]
,,,Serbia [1]
,,,Seychelles [1]
,,,Singapore [1]
,,,South Africa [1]
,,,South Sudan [1]
,,,Spain [2]
,,,Sri Lanka [2]
,,,Suriname [2]
,,,Tajikistan [1]
,,,Togo [1]
,,,Tuvalu [2]
,,,Ukraine [1]
,,,United Republic of Tanzania [1]
,,,Uruguay [1]
,,,Uzbekistan [1]
,,,Vanuatu [2]
,,,Venezuela (Bolivarian Republic of) [1]
,,,Viet Nam [1]
,,,Zambia [1]
